Div ARTEFACT DNA DNA/Academ-H DNA/CMC-Chapaev-3 DNA/CMC-EnSpm DNA/Crypton-F DNA/Dada DNA/Kolobok-H DNA/MULE-F DNA/MULE-MuDR DNA/Maverick DNA/Merlin DNA/P-Fungi DNA/PIF-Harbinger DNA/PIF-ISL2EU DNA/PiggyBac DNA/TcMar DNA/TcMar-Ant1 DNA/TcMar-Ant1? DNA/TcMar-Fot1 DNA/TcMar-ISRm11 DNA/TcMar-Mariner DNA/TcMar-Pogo DNA/TcMar-Sagan DNA/TcMar-Tc1 DNA/Zisupton DNA/hAT DNA/hAT-Ac DNA/hAT-Restless DNA/hAT-Tag1 DNA/hAT-hATw LINE/CRE LINE/L1 LINE/L1-Tx1 LINE/Penelope LINE/RTE-X LINE/Tad1 LINE/Tad1? LTR LTR/Copia LTR/DIRS LTR/ERVK LTR/Gypsy LTR/Ngaro LTR/Pao LTR/Unknown RC/Helitron Satellite Satellite/5S Simple_repeat Unknown rRNA 
10 0 41 0 36616 0 0 0 0 0 0 0 0 0 0 6041 15964 0 0 0 0 101773 516 19357 0 3586 0 0 0 0 0 0 0 219385 2395924 172 0 61 0 149 18450 0 1834 27383388 0 0 3841745 94403 404 0 0 7690414 444 
11 0 0 0 29541 0 0 0 0 46 0 0 0 0 48 4099 10282 0 0 0 0 115830 1194 17125 0 0 0 0 0 0 0 0 0 195784 2340132 141 0 0 0 91 17892 0 292 28002740 0 0 3867179 109378 373 0 0 8351958 898 
12 0 71 0 16571 80 36 0 0 0 0 71 0 0 0 3757 10147 0 0 0 0 108536 741 15712 0 654 0 0 0 0 0 0 0 163440 2630729 144 0 103 0 0 27564 0 765 24173071 0 0 4052097 138565 0 38 0 8079712 990 
13 0 0 0 13810 67 0 0 0 0 0 0 100 0 43 5049 11902 0 0 0 0 89670 1345 4991 41 5106 0 0 0 0 0 0 0 201681 3136563 0 0 109 0 835 45198 0 33 23529775 43 0 4160371 189743 31 0 0 8219007 2506 
14 0 0 0 15028 0 0 0 0 0 0 0 0 57 0 2331 7613 0 0 0 0 78397 3572 7185 0 6631 0 0 0 0 0 0 0 191433 3241834 0 55 39 0 665 75776 0 1218 21677039 0 0 4155903 239338 46 0 0 8345676 1923 
15 0 0 0 12365 0 0 0 0 0 0 0 0 0 0 123 3638 0 0 0 0 69103 3852 3702 0 7213 0 0 97 0 0 0 0 172015 2620960 0 0 0 0 904 85972 0 0 21007756 0 0 4149592 217942 0 53 0 8155911 2196 
16 0 0 0 14363 0 0 0 0 0 0 0 0 0 0 4672 3427 0 0 0 0 50354 5924 4617 0 1155 41 0 0 0 0 0 0 194776 1930956 0 0 91 0 337 87368 0 90 21198847 0 0 3892242 165336 0 0 0 8011761 1482 
17 0 0 0 15630 45 0 0 39 0 0 0 0 0 106 493 2996 0 0 0 0 50094 8385 3129 0 823 53 0 0 0 0 0 74 156949 1475367 0 0 53 0 797 90785 0 617 21281135 0 0 4001354 150012 141 0 0 8204416 691 
18 0 82 0 22070 50 0 0 49 0 0 0 0 0 144 0 1135 0 0 0 0 61038 12196 1995 0 2562 0 0 0 0 0 0 0 131555 1141502 0 0 250 0 1572 66450 0 246 21501199 0 0 3956131 133634 0 0 0 8451552 719 
19 0 66 0 18958 0 83 0 0 0 0 0 0 0 0 0 1380 0 0 0 58 52597 8736 2632 142 187 0 0 0 0 0 58 0 134154 1107252 0 0 94 0 602 67610 0 516 21628498 0 0 3695640 125977 0 0 0 8440373 184 
20 0 0 0 24868 0 0 0 0 0 0 0 0 0 0 0 152 0 0 0 91 49275 11408 1432 0 306 0 0 0 50 0 0 0 104847 946725 0 0 172 0 2184 68650 0 326 22277538 0 0 3658255 151009 0 0 0 8671388 1582 
21 0 0 52 21901 228 0 0 0 0 56 0 0 0 0 199 1291 70 59 0 138 48448 9526 1633 0 1388 0 0 0 0 0 0 0 90749 917907 87 0 273 0 2450 57300 0 1586 23302790 60 0 3389658 98776 0 0 0 8701992 181 
22 0 25 0 19257 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 50 43937 9171 1090 0 374 0 0 0 0 0 128 0 75116 639997 0 0 226 0 942 56524 90 749 23731688 0 0 3414288 129126 0 0 0 8873722 759 
23 0 0 0 14897 92 20 0 0 0 0 0 0 72 0 0 411 0 0 0 282 39289 11378 2073 0 1823 0 0 0 0 0 0 0 83720 557316 0 0 118 0 1358 62884 0 676 25095288 0 0 3446974 108948 0 0 0 9409467 152 
24 0 0 0 14612 0 0 69 124 0 65 0 0 0 0 0 124 0 0 0 111 31202 10433 1939 0 309 0 0 0 0 65 0 0 72588 489048 0 64 199 0 861 54984 49 293 27072717 0 0 3273333 105772 0 0 0 9705482 557 
25 0 0 0 6961 0 0 0 0 78 57 0 0 48 170 0 139 0 0 0 58 29456 15693 1230 0 0 0 0 47 56 0 0 0 69040 505838 0 0 47 11 827 47025 0 290 28315083 0 0 3201069 108560 0 0 0 9926260 2156 
26 0 0 0 3988 0 0 0 0 0 0 0 0 0 68 0 115 0 0 0 0 25063 11305 1645 0 146 59 0 0 0 0 0 0 78230 598416 0 0 106 0 776 41719 0 617 27630307 81 95 3210874 83119 0 0 0 10135331 1336 
27 0 0 0 7661 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15900 8525 1231 0 0 129 0 0 0 0 0 0 54567 699195 0 0 234 0 555 40252 0 114 26815224 0 87 3141051 91973 0 0 0 9917453 1179 
28 0 184 0 4293 0 0 0 116 0 0 0 0 0 0 0 0 0 0 0 94 7254 6968 1874 0 90 0 47 0 0 0 0 0 54783 882944 0 0 93 0 1405 31596 0 628 25559797 61 0 2962815 92144 0 0 0 9665363 807 
29 0 0 0 6854 0 94 0 0 0 0 0 0 0 196 0 67 0 0 0 0 7841 3296 681 64 305 0 0 0 0 0 0 0 65324 773146 0 0 121 0 1169 45785 0 538 25048152 0 0 2882280 85839 0 0 0 9322052 2495 
30 0 0 0 8359 61 0 0 0 0 0 0 0 0 0 0 189 0 0 0 66 4236 6069 1089 0 68 0 0 0 0 0 0 0 43132 637874 0 0 86 0 2191 48346 0 467 24043504 0 0 2642661 63584 0 0 0 8951341 1342 
31 0 0 0 8870 0 0 0 79 0 0 132 0 0 0 0 0 0 0 0 0 3146 997 0 0 396 0 0 0 0 0 0 0 45342 585726 0 0 67 0 854 67234 0 1026 23530680 0 0 2908873 63603 0 0 0 8300508 102 
32 0 0 0 14439 0 0 0 65 0 0 0 0 0 0 0 0 0 0 0 12 2182 670 82 0 0 0 0 0 0 0 0 0 57411 599078 0 0 0 0 1008 65176 0 886 21614279 0 0 2578340 50075 0 0 0 7793029 1021 
33 0 0 0 13856 78 0 0 0 0 0 0 0 0 0 0 144 0 0 0 0 2211 271 443 0 13 0 0 0 0 0 0 0 77629 617137 0 0 95 0 1800 50740 0 194 20841637 0 0 2328002 41002 0 0 0 6932537 1724 
34 0 0 0 11471 0 0 0 0 0 0 208 0 0 0 0 0 0 0 0 0 1011 1898 746 0 0 0 0 0 0 0 0 0 107548 743735 0 0 296 0 1763 32235 0 142 19983526 0 0 2468721 53138 0 0 0 6246959 3866 
35 0 0 0 10917 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 307 380 0 0 0 0 0 0 0 0 0 0 213447 975931 0 0 0 0 2022 35048 0 480 18643117 0 0 2481101 54984 0 0 0 5470837 523 
36 0 0 0 12430 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 194 892 196 0 220 0 0 0 0 0 0 0 325781 1126167 0 0 0 0 1148 26068 0 563 16622705 0 0 2274857 55421 0 0 0 4731775 6304 
37 0 164 0 10305 0 0 0 0 0 0 0 0 0 287 0 0 0 0 0 0 230 2005 250 0 115 0 0 0 0 0 0 0 437999 1252092 0 0 86 0 1718 13700 0 140 14538320 0 0 2173932 50815 125 0 0 4236867 1861 
38 0 0 0 9260 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1856 0 0 172 0 0 0 0 0 0 0 524980 1276754 0 0 85 0 2892 12980 0 1139 12572863 0 0 1730405 47793 0 0 0 3566735 3081 
39 0 0 0 9348 0 0 0 0 0 0 152 0 0 0 0 144 0 0 0 0 0 4368 0 0 61 0 0 0 0 0 0 0 476854 1087224 0 0 95 0 1932 7969 0 407 11216578 0 0 1369328 47048 0 0 0 3076369 10856 
40 0 0 0 9045 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 334 6083 0 0 1346 0 0 0 0 0 0 0 294361 1021767 0 0 0 0 2055 3692 0 7 10085770 0 118 1059560 40497 0 0 0 2557043 2591 
41 0 0 0 8824 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1661 421 0 992 0 0 0 0 0 0 0 190144 874771 0 0 0 0 3072 7901 0 0 9214436 0 122 956217 39903 0 0 0 1983391 3408 
42 0 0 0 9408 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 310 0 0 774 0 0 0 0 0 0 0 118594 602537 0 0 0 0 2506 5960 0 0 8535507 0 475 838435 37904 0 0 0 1625424 6249 
43 0 0 0 4785 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2185 0 0 1643 0 0 0 0 0 0 0 76048 408648 0 0 0 0 3078 3304 0 466 8046634 0 298 759483 22647 0 0 0 1160285 7113 
44 0 0 0 4005 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1254 342 0 550 0 0 0 0 0 0 0 52103 279253 0 0 0 0 3543 1621 0 756 7543315 0 0 566298 13650 0 0 0 829336 0 
45 0 0 0 1860 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3406 0 0 0 0 0 0 0 0 0 0 34526 144128 0 0 0 0 3123 4148 0 642 6553388 0 0 525934 15080 0 0 0 553471 6097 
46 0 0 0 153 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 172 0 0 0 0 0 0 0 27648 104383 0 0 0 0 2424 2927 0 0 5145631 0 701 405470 7119 0 0 0 378312 547 
47 0 0 0 207 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 117 0 0 0 0 0 0 0 0 0 0 0 13723 50558 0 0 0 0 1586 1860 0 115 3707184 0 0 260827 8255 0 0 0 237604 0 
48 0 0 0 247 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 896 0 0 865 0 0 0 0 0 0 0 3905 29744 0 0 0 0 1445 341 0 605 2502390 0 0 216567 3306 0 0 0 127900 0 
49 0 0 0 65 0 0 0 0 0 0 231 0 0 0 0 0 0 0 0 0 0 0 0 0 128 0 0 0 0 0 0 0 4595 19668 0 0 0 0 560 148 0 505 1648738 0 0 151252 1049 0 0 0 93379 0 
50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1305 5533 0 0 0 0 780 869 0 0 921168 0 0 91585 1966 0 0 0 50109 0 
51 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1178 5297 0 0 0 0 0 0 0 0 514622 0 0 54335 1686 0 0 0 35246 0 
52 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2847 0 0 0 0 343 180 0 0 294713 0 0 31578 353 0 0 0 16110 0 
53 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1655 0 0 0 0 136 0 0 0 134906 0 0 25664 0 0 0 0 14441 0 
54 0 0 0 0 0 0 0 0 0 0 157 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 491 728 0 0 0 0 333 0 0 0 93393 0 0 11707 0 0 0 0 5619 0 
55 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 40025 0 0 6783 0 0 0 0 2633 0 
56 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 248 0 0 0 0 435 0 0 0 21741 0 0 3389 0 0 0 0 736 0 
57 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11413 0 0 2608 0 0 0 0 771 0 
58 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9367 0 0 2964 0 0 0 0 0 0 
59 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3937 0 0 435 0 0 0 0 1061 0 
60 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2125 0 0 915 0 0 0 0 90 0 
61 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1166 0 0 407 0 0 0 0 0 0 
62 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 353 0 0 0 0 0 0 
63 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 323 0 0 0 0 0 0 0 0 0 
64 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 194 0 0 21 0 0 0 0 0 0 
65 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
66 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 224 0 0 0 0 0 0 0 0 0 
67 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 167 0 0 0 0 0 0 0 0 0 
68 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
69 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
70 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
