Div ARTEFACT DNA DNA/Academ-H DNA/CMC-Chapaev-3 DNA/CMC-EnSpm DNA/Crypton-F DNA/Dada DNA/Kolobok-H DNA/MULE-F DNA/MULE-MuDR DNA/Maverick DNA/Merlin DNA/P-Fungi DNA/PIF-Harbinger DNA/PIF-ISL2EU DNA/PiggyBac DNA/TcMar DNA/TcMar-Ant1 DNA/TcMar-Ant1? DNA/TcMar-Fot1 DNA/TcMar-ISRm11 DNA/TcMar-Mariner DNA/TcMar-Pogo DNA/TcMar-Sagan DNA/TcMar-Tc1 DNA/Zisupton DNA/hAT DNA/hAT-Ac DNA/hAT-Restless DNA/hAT-Tag1 DNA/hAT-hATw LINE/CRE LINE/L1 LINE/L1-Tx1 LINE/Penelope LINE/RTE-X LINE/Tad1 LINE/Tad1? LTR LTR/Copia LTR/DIRS LTR/ERVK LTR/Gypsy LTR/Ngaro LTR/Pao LTR/Unknown RC/Helitron Satellite Satellite/5S Simple_repeat Unknown rRNA 
0 0 0 0 31 0 0 0 0 0 0 0 0 0 0 0 5244 0 0 0 0 121 22393 3497 0 0 0 0 0 0 0 0 0 502 56112 0 0 0 0 61 0 0 4245 870063 0 5939 417239 2464 0 0 0 360937 0 
1 0 0 0 2613 0 0 0 0 0 0 0 0 0 0 0 9403 0 0 0 0 141 123384 323 0 0 0 0 0 0 0 0 0 862 437022 0 0 0 0 0 0 0 353 4419883 0 0 534706 9967 0 0 0 638659 0 
2 0 0 0 9031 0 0 0 0 0 0 0 0 0 0 0 7728 0 0 0 0 1078 254765 2645 0 0 0 0 0 0 0 0 0 3672 546267 0 0 0 0 11230 79 0 5704 8987586 0 0 1030299 44800 0 0 0 829686 0 
3 0 0 0 21990 0 0 0 0 0 0 0 0 0 28 0 10011 0 0 0 0 3365 115202 4202 0 30 0 0 0 0 0 0 0 6678 1129261 0 0 34 0 15521 66 0 13215 8492859 0 0 1718813 64252 0 0 0 1344318 0 
4 0 0 0 28814 0 0 0 0 0 0 0 0 0 0 0 13455 0 0 0 0 3614 18656 6055 0 0 0 0 0 0 0 0 0 13691 3653335 113 0 0 0 35905 147 0 54929 7741186 0 0 2063219 114356 0 0 0 2357858 227 
5 0 0 0 27166 0 0 0 0 0 0 0 0 0 0 1289 11067 0 0 0 0 12672 3603 6757 0 0 0 0 0 0 0 0 0 75472 5099304 0 0 0 0 36090 38 0 44006 10321292 0 0 2318606 155860 0 0 0 3434362 176 
6 0 0 0 55315 0 0 0 0 0 32 0 0 0 0 0 14788 0 0 0 0 13588 2231 10435 0 0 0 0 51 0 0 0 0 175664 2852245 0 0 0 0 19168 88 0 30118 10013529 0 0 2587033 138463 193 0 0 4687400 108 
7 0 0 0 62411 0 0 0 0 0 0 0 0 0 0 2290 13913 0 0 0 0 22703 582 14141 0 71 0 0 41 0 0 0 0 192275 3027183 0 0 0 0 6756 2387 0 13801 13673612 0 0 2866712 104663 0 0 0 5270612 796 
8 0 0 0 61402 0 0 0 0 0 0 0 0 0 120 0 13773 0 0 0 45 30453 479 15445 0 0 51 0 0 0 0 0 0 185138 2980819 24 0 0 0 2639 3208 39 7978 22308711 0 0 3520151 78521 0 0 0 5628543 0 
9 0 0 0 59483 45 0 0 0 0 0 0 0 0 0 3525 18431 0 0 34 38 58599 62 9922 0 1361 0 0 0 0 0 0 0 144653 3067661 0 0 36 0 2958 5963 0 1725 27164488 0 0 3708255 79155 0 0 0 6252071 1281 
