Div DNA/CMC-Chapaev-3 DNA/PIF-ISL2EU DNA/PiggyBac DNA/TcMar-ISRm11 DNA/TcMar-Mariner DNA/TcMar-Pogo DNA/Zisupton DNA/hAT-Charlie LINE/L1 LINE/L1-Tx1 LTR LTR/Copia LTR/ERVK LTR/ERVL LTR/Gypsy LTR/Unknown RC/Helitron RC/Helitron-2 Simple_repeat Unknown 
0 0 0 220 0 8241 28 0 2450 20565 3815948 0 4448 0 0 931555 553312 5299 1642 0 338419 
1 2336 0 1552 0 26180 0 0 0 4738 4997629 77 2102 6222 0 1860732 1233277 31674 0 0 786160 
2 9638 0 2439 0 47329 2056 0 0 8859 2069260 253 6478 10717 0 2683389 1563844 58461 1118 0 4591295 
3 27758 0 5632 278 25119 277 0 0 10688 1482777 4061 15342 29789 0 9800901 2218787 124115 2972 0 2632111 
4 18620 0 7232 1561 6110 750 0 0 18900 1289076 84995 56493 49515 0 13548836 3167950 222038 419 0 2344737 
5 16230 74 20871 2908 3925 1051 0 0 91771 5381685 80889 80549 17564 0 14005509 3144202 347182 12055 0 3675353 
6 30599 241 13491 7383 2214 813 663 818 205001 9060369 196174 11583 4227 0 13486464 3029735 193696 15865 0 4772724 
7 57672 3719 19273 10730 2555 6795 2857 285 379547 5927597 435424 8569 967 0 13345297 3382463 160334 5685 0 6499061 
8 59923 4731 15260 14366 2320 7005 1552 659 1294890 5098571 272565 848 1627 0 20632353 3850122 108042 14693 0 7201392 
9 35601 3614 15887 6700 1199 15954 1548 6822 1973099 3334993 88310 2045 1784 0 28944958 4144444 97875 8067 0 7507994 
10 26564 16883 16656 13518 1578 9251 1080 31827 1350211 1946309 32445 417 3246 0 40179572 3998448 107883 19783 0 8444204 
11 12548 18770 14971 14984 866 16106 2397 39490 876933 1340142 27346 1342 89 0 45042962 3916257 142929 25444 0 9072828 
12 9983 13986 8312 25456 2441 3914 4918 36873 458624 975843 24534 1315 0 0 36700621 4234838 149182 23101 0 9642809 
13 4857 8096 7701 13671 2187 4990 3826 4149 205341 1055640 53373 724 629 0 28382657 4940135 137419 45716 0 10112089 
14 6082 10079 4111 14959 3482 3648 1584 791 210717 894319 82670 2100 53 75 25779300 4533914 170126 33879 0 10865372 
15 9020 2634 4740 18896 2097 343 1313 740 573976 813602 92991 2887 366 0 27539049 4173605 125169 39542 0 11618710 
16 10611 2777 3564 15392 5570 660 1658 442 569151 825422 57929 3194 104 0 29807620 3688954 161548 27298 0 11854689 
17 19952 773 3557 9963 9748 770 1604 107 341040 1013198 32730 4641 2385 0 32628581 3369030 120983 12060 0 11822366 
18 23630 518 1065 8804 7930 1672 795 257 528646 1303171 32840 5344 1138 434 33498599 2896593 71191 23561 0 11494881 
19 21658 177 1290 1797 9616 697 1312 670 375158 1159773 24717 5350 2172 55 32468632 2653595 58515 20912 0 11632147 
20 23800 198 1039 3449 6969 685 2141 128 215248 777789 29729 5014 0 71 32784085 2567492 37487 13422 0 11867642 
21 26479 243 152 2370 8859 1426 149 142 120692 739880 28723 8619 1394 0 30111680 2784011 49956 4930 0 11888134 
22 26621 0 196 1026 12073 358 1792 183 96758 610244 23250 7760 433 0 27711469 3051189 41416 14804 0 11531191 
23 13988 0 103 886 11679 589 704 186 93553 503371 13197 6243 1243 0 24152445 2797529 32879 3678 0 11585487 
24 12242 0 227 2972 14483 416 2070 0 134030 494165 19179 4333 1114 0 21979009 2646469 33056 3479 0 11390071 
25 6591 0 117 4191 13471 798 296 350 89154 420533 6232 5328 233 0 20590627 2634522 21075 3710 0 11459874 
26 3273 0 158 18581 16810 0 372 801 146768 358880 10880 5477 528 418 20198073 2577184 26253 6360 0 11578468 
27 3284 0 33 15688 18825 2348 68 254 168738 359676 9168 4028 947 195 20046648 2561518 31212 3125 0 11347712 
28 1103 0 0 7658 14072 794 84 62 222279 433516 11694 4551 564 448 20110556 2649386 38724 3992 0 11012668 
29 1236 0 0 7423 3473 3315 254 0 247884 439143 5963 4804 835 2826 20459870 2667291 39628 1897 0 11081798 
30 814 0 282 2386 6887 99 73 0 187997 552520 8490 3357 821 1025 20764797 2489490 49184 881 0 10740766 
31 941 0 0 1966 5143 571 998 0 131712 517404 13800 3061 209 1265 19329861 2134314 45009 4731 0 10581230 
32 451 0 0 880 1948 118 332 0 116295 496420 5358 1479 320 2704 18739176 2296521 34361 3122 0 10056999 
33 1213 0 85 0 3637 0 0 0 53489 590743 5225 2299 359 2265 17727220 2213365 41605 1748 0 9527890 
34 369 0 968 2977 2821 251 7 0 61562 545059 5033 2173 700 3742 16448265 2349546 30758 893 0 8741091 
35 1278 0 422 3078 4340 364 0 0 71901 447119 7320 2188 729 6589 15464243 2337212 24817 3691 0 7915387 
36 1275 0 0 1351 3128 0 31 0 64588 475365 4895 2992 817 3835 13895748 2114614 28566 857 0 6661350 
