Div DNA/CMC-Chapaev-3 DNA/PIF-ISL2EU DNA/PiggyBac DNA/TcMar-ISRm11 DNA/TcMar-Mariner DNA/TcMar-Pogo DNA/Zisupton DNA/hAT-Charlie LINE/L1 LINE/L1-Tx1 LTR LTR/Copia LTR/ERVK LTR/ERVL LTR/Gypsy LTR/Unknown RC/Helitron RC/Helitron-2 Simple_repeat Unknown 
37 2608 0 0 755 3922 0 319 62 89196 453842 10380 2445 817 3806 12330113 1866282 36973 2157 0 5545368 
38 2448 0 120 2200 2262 0 11 0 90437 536637 8165 2034 306 2891 11269556 1424087 23423 776 0 4374723 
39 4982 0 1722 121 3474 432 0 0 133028 548145 15285 1424 298 4932 10728448 1090441 40687 0 0 3525667 
40 5108 0 2963 1160 2971 427 0 0 226477 553187 15700 285 28 4907 10427888 937363 15534 0 0 2842256 
41 992 0 3951 571 3107 420 0 0 217791 455271 13582 557 662 2718 9826759 739865 37132 0 0 2215398 
42 4876 0 4544 946 1364 0 0 0 210478 480029 12208 1654 330 2311 9299145 597631 27062 0 0 1667127 
43 1212 0 3551 0 721 0 0 0 184156 320592 15237 1798 429 3574 8217846 575113 31462 0 0 1219290 
44 1161 0 1558 0 276 0 0 0 141744 251416 10116 739 1433 2728 6879976 459626 16434 0 0 969694 
45 739 0 970 0 727 0 0 0 80333 165715 12677 0 875 1559 5541320 376083 14275 0 0 670393 
46 914 0 0 0 164 0 0 0 50393 119808 8463 173 0 1558 4077247 291909 12585 0 0 478923 
47 563 0 0 0 392 0 0 0 32714 80196 9574 0 1114 1487 2835974 188737 7079 0 0 345329 
48 292 0 0 0 482 0 0 0 17972 42847 4234 0 645 105 1862422 145514 4393 0 0 219363 
49 0 0 0 0 247 0 0 0 15683 23965 4845 0 373 512 1236807 90249 1675 0 0 126302 
50 0 0 0 0 537 0 0 0 9250 16720 1935 0 23 398 670379 60458 1326 0 0 91854 
51 0 0 0 0 130 0 0 0 1016 6297 4704 493 0 428 404065 42273 980 0 0 55284 
52 0 0 0 0 0 0 0 0 1768 3400 1049 0 0 194 246280 31017 0 0 0 36344 
53 0 0 0 0 0 0 0 0 54 2049 469 0 206 0 111941 16130 0 0 0 15501 
54 0 0 0 0 0 0 0 0 1276 0 290 0 0 556 64903 9476 0 0 0 13663 
55 0 0 0 0 0 0 0 0 591 0 0 0 0 0 33340 7414 0 0 0 6007 
56 0 0 0 0 0 0 0 0 0 0 0 0 0 0 17937 3320 0 0 0 4363 
57 0 0 0 0 0 0 0 0 0 0 71 0 0 0 11004 4129 0 0 0 2248 
58 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3058 1980 0 0 0 777 
59 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1223 1737 0 0 0 829 
60 0 0 0 0 0 0 0 0 186 0 0 0 0 0 399 619 0 0 0 102 
61 0 0 0 0 0 0 0 0 0 0 0 0 0 0 692 797 0 0 0 121 
62 0 0 0 0 0 0 0 0 0 0 0 0 0 0 180 667 0 0 0 0 
63 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 231 0 0 0 110 
64 0 0 0 0 0 0 0 0 0 0 0 0 0 0 270 116 0 0 0 0 
65 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 104 0 0 0 0 
66 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14 56 0 0 0 0 
67 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
68 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
69 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
70 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
